measurements_parameter,city,location,measurements_value,measurements_lastupdated
PM2.5,Kanpur,SPARTAN - IIT Kanpur,40.9,2019-11-25 13:00:00+00:00
PM10,,"Alipur, Delhi - DPCC",449.0,2022-10-31 00:30:00+00:00
O3,,"Railway Colony, Guwahati - APCB",18.14,2019-12-24 07:30:00+00:00
PM10,,"Kurla, Mumbai - MPCB",67.0,2022-10-31 02:00:00+00:00
PM10,,"Jawaharlal Nehru Stadium, Delhi - DPCC",317.0,2022-10-31 00:45:00+00:00
NO2,,"Yamunapuram, Bulandshahr - UPPCB",17.8,2022-10-31 01:00:00+00:00
PM2.5,,"Knowledge Park - V, Greater Noida - UPPCB",152.0,2022-10-31 02:00:00+00:00
SO2,,"Knowledge Park - V, Greater Noida - UPPCB",6.6,2022-10-31 02:00:00+00:00
PM2.5,,"Gomti Nagar, Lucknow - UPPCB",40.0,2022-10-16 16:00:00+00:00
O3,,"Chhoti Gwaltoli, Indore - MPPCB",40.7,2020-01-06 09:15:00+00:00
PM2.5,,"Ibrahimpur, Vijayapura - KSPCB",14.9,2022-10-16 16:00:00+00:00
PM2.5,,"Jahangirpuri, Delhi - DPCC",250.0,2022-10-31 00:45:00+00:00
PM2.5,,"MD University, Rohtak - HSPCB",132.25,2018-02-22 03:45:00+00:00
O3,,VK Industrial Area Jaipur - RSPCB,116.63,2017-06-12 05:30:00+00:00
SO2,,VK Industrial Area Jaipur - RSPCB,95.98,2017-06-12 05:30:00+00:00
NO2,,"Sector16A, Faridabad - HSPCB",69.44,2018-02-22 03:25:00+00:00
CO,,"Sector16A, Faridabad - HSPCB",10.0,2018-02-07 06:35:00+00:00
O3,,Nehru Nagar,11.7,2018-02-22 03:15:00+00:00
PM2.5,,"Talcher Coalfields,Talcher - OSPCB",30.41,2022-10-31 01:00:00+00:00
NO2,,"Punjab Agricultural University, Ludhiana - PPCB",20.72,2022-10-31 02:00:00+00:00
PM10,,"Collectorate, Jodhpur - RSPCB",250.7,2022-10-31 01:45:00+00:00
NO2,,"Pimpleshwar Mandir, Thane - MPCB",37.46,2022-10-16 11:45:00+00:00
CO,,"GM Office, Brajrajnagar - OSPCB",1300.0,2022-10-14 20:00:00+00:00
PM10,,"Padmapukur, Howrah - WBPCB",66.6,2022-10-31 01:45:00+00:00
NO2,,"Suryakiran Bhawan NCL, Singrauli - MPPCB",75.5,2022-10-16 16:00:00+00:00
PM10,,"Plammoodu, Thiruvananthapuram - Kerala PCB",56.0,2022-10-31 02:00:00+00:00
NO2,,"Ward-32 Bapupara, Siliguri - WBPCB",23.91,2022-10-31 01:45:00+00:00
NO2,,"Tirumala, Tirupati - APPCB",28.1,2022-10-31 02:00:00+00:00
SO2,,"Lalbagh, Lucknow - CPCB",18.13,2022-10-31 01:45:00+00:00
NO2,,"PWD Grounds, Vijayawada - APPCB",1.38,2020-11-19 08:15:00+00:00
PM10,,"Ashok Vihar, Delhi - DPCC",392.0,2022-10-31 00:45:00+00:00
O3,,"Mundka, Delhi - DPCC",15.2,2022-10-31 00:45:00+00:00
O3,,"Govt. High School Shikarpur, Patna - BSPCB",26.13,2022-10-16 15:45:00+00:00
NO2,,"Mini Secretariat, Charkhi Dadri - HSPCB",0.0,2022-10-16 16:00:00+00:00
PM10,,"ICRISAT Patancheru, Hyderabad - TSPCB",113.0,2022-10-31 01:45:00+00:00
PM2.5,,"Murthal, Sonipat - HSPCB",56.57,2022-10-16 16:00:00+00:00
SO2,,"City Center, Gwalior - MPPCB",23.8,2022-10-16 16:00:00+00:00
NO2,,"T T Nagar, Bhopal - MPPCB",56.7,2022-10-16 16:00:00+00:00
PM2.5,,"Kunjaban, Agartala - Tripura SPCB",68.0,2022-10-16 16:00:00+00:00
PM2.5,,"Revenue Colony-Shivajinagar, Pune - IITM",33.3,2022-07-07 07:15:00+00:00
PM10,,"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",3.0,2022-10-16 16:00:00+00:00
O3,,"Motilal Nehru NIT, Prayagraj - UPPCB",3.64,2022-10-31 02:00:00+00:00
PM10,,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",26.1,2022-07-08 07:00:00+00:00
PM10,,"GIFT City, Gandhinagar - IITM",48.3,2022-07-07 09:00:00+00:00
PM2.5,,"SAC ISRO Satellite, Ahmedabad - IITM",32.93,2022-07-07 09:15:00+00:00
PM2.5,,"Kukrail Picnic Spot-1, Lucknow - UPPCB",61.57,2022-10-16 16:00:00+00:00
PM2.5,,"Kamalnath Nagar, Bettiah - BSPCB",65.0,2022-10-16 15:45:00+00:00
SO2,,"D M Colony, Bihar Sharif - BSPCB",8.0,2022-10-31 01:45:00+00:00
PM10,,"Mangala, Bilaspur - NTPC",61.93,2022-10-31 02:00:00+00:00
NO2,,"Employment Office, Moradabad - UPPCB",10.15,2022-10-31 02:00:00+00:00
SO2,,"Mariam Nagar, Purnia - BSPCB",4.0,2022-10-31 01:45:00+00:00
PM10,,"Mariam Nagar, Purnia - BSPCB",229.0,2022-10-31 01:45:00+00:00
CO,,"Chitragupta Nagar, Siwan - BSPCB",790.0,2022-10-31 01:45:00+00:00
NO2,,"Police Line, Saharsa - BSPCB",0.2,2022-10-16 15:45:00+00:00
CO,,"Sector-53, Chandigarh - CPCC",1850.0,2022-10-31 01:45:00+00:00
O3,,"DM Office_Kasipur, Samastipur - BSPCB",10.7,2022-10-31 01:45:00+00:00
SO2,,"Vibhab Nagar, Firozabad - UPPCB",13.55,2022-10-31 02:00:00+00:00
NO2,,"IITH Kandi, Hyderabad - TSPCB",4.23,2022-10-31 02:00:00+00:00
PM2.5,,"Ramteerth Nagar, Belgaum - KSPCB",39.0,2022-10-31 01:45:00+00:00
NO2,,"Girls College, Sivasagar - PCBA",7.27,2022-10-31 02:00:00+00:00
PM10,,"City Railway Station, Bengaluru - KSPCB",76.87,2022-10-31 01:45:00+00:00
CO,,"Secretariat, Amaravati - APPCB",690.0,2022-10-31 02:00:00+00:00
SO2,,"Asansol Court Area, Asansol - WBPCB",9.26,2022-10-31 01:45:00+00:00
SO2,,"Peenya, Bengaluru - CPCB",6.18,2022-10-31 01:45:00+00:00
PM10,,"GM Office, Brajrajnagar - OSPCB",19.26,2022-10-14 20:00:00+00:00
PM10,,"North Campus, DU, Delhi - IMD",235.44,2022-10-31 02:00:00+00:00
CO,,"Shastri Nagar, Jaipur - RSPCB",30.0,2022-10-31 01:45:00+00:00
CO,,"Opp GPO Civil Lines, Nagpur - MPCB",200.0,2022-10-31 00:45:00+00:00
CO,,"DTU, Delhi - CPCB",1900.0,2022-10-31 01:45:00+00:00
NO2,,"GVM Corporation, Visakhapatnam - APPCB",36.7,2022-10-31 02:00:00+00:00
NO2,,"Maninagar, Ahmedabad - GPCB",74.29,2022-10-31 01:45:00+00:00
O3,,"Central School, Lucknow - CPCB",6.64,2022-10-31 01:45:00+00:00
PM10,,"Rohini, Delhi - DPCC",317.0,2018-05-12 06:30:00+00:00
NO2,,"Dr. Karni Singh Shooting Range, Delhi - DPCC",32.4,2018-05-09 11:00:00+00:00
CO,,"Vivek Vihar, Delhi - DPCC",700.0,2018-05-10 09:00:00+00:00
SO2,,"Major Dhyan Chand National Stadium, Delhi - DPCC",0.1,2018-05-12 04:30:00+00:00
O3,,"Sonia Vihar, Delhi - DPCC",198.7,2018-05-11 11:45:00+00:00
SO2,,"Ashok Vihar, Delhi - DPCC",2.3,2018-05-12 04:30:00+00:00
NO2,,"Narela, Delhi - DPCC",38.2,2018-05-12 04:30:00+00:00
CO,,"NISE Gwal Pahari, Gurugram - IMD",950.0,2018-11-16 04:00:00+00:00
NO2,,"Punjabi Bagh, Delhi - DPCC",54.7,2022-10-16 14:15:00+00:00
NO2,,"Mandir Marg, Delhi - DPCC",34.8,2022-10-31 00:45:00+00:00
PM2.5,,"IHBAS, Dilshad Garden, Delhi - CPCB",99.5,2022-10-31 01:45:00+00:00
SO2,,"Ratanpura, Rupnagar - Ambuja Cements",4.74,2022-10-31 01:45:00+00:00
SO2,,"New Mandi, Muzaffarnagar - UPPCB",12.4,2022-10-31 02:00:00+00:00
CO,,"Major Dhyan Chand National Stadium, Delhi - DPCC",300.0,2022-10-31 00:00:00+00:00
CO,,"Alipur, Delhi - DPCC",1300.0,2022-10-31 00:30:00+00:00
PM2.5,,"Mahape, Navi Mumbai - MPCB",40.0,2022-10-16 15:45:00+00:00
SO2,,"Municipal Corporation Office, Dharuhera -  HSPCB",4.76,2022-10-31 01:45:00+00:00
PM2.5,,"Murthal, Sonipat - HSPCB",77.68,2020-01-02 06:45:00+00:00
O3,,"F-Block, Sirsa - HSPCB",7.13,2022-10-31 02:00:00+00:00
CO,,"Lal Bahadur Shastri Nagar, Kalaburagi - KSPCB",420.0,2020-01-02 23:30:00+00:00
CO,,"Sector-18, Panipat - HSPCB",2060.0,2022-10-31 01:45:00+00:00
PM10,,"Worli, Mumbai - MPCB",121.0,2022-10-31 02:00:00+00:00
NO2,,"Patti Mehar, Ambala - HSPCB",2.71,2022-10-31 01:45:00+00:00
PM10,,"Sector-1, Noida - UPPCB",374.0,2022-10-16 16:00:00+00:00
NO2,,"Loni, Ghaziabad - UPPCB",70.0,2022-10-31 02:00:00+00:00
PM2.5,,"Loni, Ghaziabad - UPPCB",224.0,2022-10-31 02:00:00+00:00
SO2,,"R K Puram, Delhi - DPCC",11.0,2022-10-30 23:00:00+00:00
CO,,"Gomti Nagar, Lucknow - UPPCB",330.0,2022-10-16 16:00:00+00:00
O3,,"Shyam Nagar, Palwal - HSPCB",18.9,2020-01-01 09:15:00+00:00
CO,,"Shyam Nagar, Palwal - HSPCB",750.0,2022-10-31 01:30:00+00:00
NO2,,"Sector-7, Kurukshetra - HSPCB",54.67,2022-10-31 01:45:00+00:00
O3,,"Ganga Nagar, Meerut - UPPCB",18.8,2022-10-16 16:00:00+00:00
SO2,,"Ganga Nagar, Meerut - UPPCB",9.0,2022-10-16 16:00:00+00:00
SO2,,"Corporation Ground, Thrissur - Kerala PCB",0.65,2022-10-16 15:30:00+00:00
O3,,"Jahangirpuri, Delhi - DPCC",0.5,2022-10-30 22:45:00+00:00
PM2.5,,"Punjabi Bagh, Delhi - DPCC",183.0,2018-02-21 21:15:00+00:00
PM10,,"Punjabi Bagh, Delhi - DPCC",322.0,2018-02-21 21:15:00+00:00
O3,,"BTM Layout, Bengaluru - KSPCB",15.57,2018-02-22 03:00:00+00:00
SO2,,Chandrapur,8.1,2018-02-22 04:00:00+00:00
NO2,,VK Industrial Area Jaipur - RSPCB,39.55,2017-06-08 12:15:00+00:00
O3,,"Talkatora District Industries Center, Lucknow - CPCB",12.24,2022-10-31 02:00:00+00:00
SO2,,SaneguravaHalli - KSPCB,3.88,2018-02-21 23:45:00+00:00
PM2.5,,Nehru Nagar,167.0,2018-02-22 03:15:00+00:00
CO,,Navi Mumbai Municipal Corporation Airoli,1480.0,2020-04-09 00:15:00+00:00
SO2,,"Anand Vihar, Delhi - DPCC",14.5,2022-10-31 00:15:00+00:00
NO2,,"BTM Layout, Bengaluru - CPCB",15.58,2022-10-16 16:00:00+00:00
NO2,,"MD University, Rohtak - HSPCB",0.0,2020-01-01 11:00:00+00:00
NO2,,"Collectorate, Gaya - BSPCB",8.5,2022-10-31 02:00:00+00:00
O3,,"Aya Nagar, Delhi - IMD",29.5,2022-10-31 01:15:00+00:00
CO,,"Anand Vihar, Delhi - DPCC",2800.0,2021-09-20 07:45:00+00:00
NO2,,"ITO, Delhi - CPCB",83.1,2022-10-31 01:45:00+00:00
PM2.5,,"ITO, Delhi - CPCB",188.0,2022-10-31 01:45:00+00:00
PM10,,"Vidayagiri, Bagalkot - KSPCB",43.47,2022-10-16 15:45:00+00:00
NO2,,"Muradpur, Patna - BSPCB",0.0,2022-10-16 15:45:00+00:00
CO,,"Ratanpura, Rupnagar - Ambuja Cements",580.0,2021-11-23 11:45:00+00:00
SO2,,"Ratanpura, Rupnagar - Ambuja Cements",9.9,2021-11-23 11:45:00+00:00
PM2.5,,"Bidhannagar, Kolkata - WBPCB",23.3,2022-10-16 15:45:00+00:00
NO2,,"Bidhannagar, Kolkata - WBPCB",30.84,2022-10-16 15:45:00+00:00
CO,,"Lumpyngngad, Shillong - Meghalaya PCB",280.0,2022-10-16 16:00:00+00:00
NO2,,"Lumpyngngad, Shillong - Meghalaya PCB",0.0,2022-10-16 16:00:00+00:00
NO2,,"ICRISAT Patancheru, Hyderabad - TSPCB",23.3,2022-10-31 01:45:00+00:00
SO2,,"Kalyana Nagara, Chikkamagaluru - KSPCB",3.77,2022-10-16 16:00:00+00:00
PM10,,"Vijay Nagar, Ramanagara - KSPCB",59.0,2022-10-31 02:00:00+00:00
PM10,,"Sector-12, Karnal - HSPCB",244.5,2022-10-31 01:30:00+00:00
SO2,,"Sector-12, Karnal - HSPCB",8.02,2022-10-31 01:30:00+00:00
PM10,,"Ballygunge, Kolkata - WBPCB",101.1,2022-10-16 16:00:00+00:00
NO2,,"Vinoba Nagara, Shivamogga - KSPCB",952.91,2022-10-16 16:00:00+00:00
PM10,,"Meelavittan, Thoothukudi - TNPCB",30.0,2022-10-16 16:00:00+00:00
NO2,,"Arumbakkam, Chennai - TNPCB",6.0,2022-10-16 16:00:00+00:00
PM2.5,,"Stuart Hill, Madikeri - KSPCB",11.0,2022-10-16 16:00:00+00:00
PM10,,"Bandra Kurla Complex, Mumbai - IITM",152.38,2022-10-16 15:45:00+00:00
SO2,,"Chandni Chowk, Delhi - IITM",1.32,2022-08-02 10:30:00+00:00
PM2.5,,"Lodhi Road, Delhi - IITM",42.3,2022-08-02 09:30:00+00:00
PM2.5,,"Mulund West, Mumbai - MPCB",47.69,2022-10-16 15:45:00+00:00
CO,,"Haji Colony, Raichur - KSPCB",1960.0,2022-10-16 09:30:00+00:00
CO,,"Tamaka Ind. Area, Kolar - KSPCB",4040.0,2021-10-22 10:45:00+00:00
PM2.5,,"Hadapsar, Pune - IITM",2.56,2022-06-22 08:45:00+00:00
O3,,"Brahmagiri, Udupi - KSPCB",80.15,2022-10-16 01:00:00+00:00
SO2,,"Brahmagiri, Udupi - KSPCB",34.0,2022-10-16 01:00:00+00:00
NO2,,"B R Ambedkar University, Lucknow - UPPCB",16.31,2022-10-16 16:00:00+00:00
NO2,,"Rakhial, Ahmedabad - IITM",15.84,2022-07-13 06:30:00+00:00
PM2.5,,"Manoharpur, Agra - UPPCB",72.24,2022-10-31 02:00:00+00:00
NO2,,"Manoharpur, Agra - UPPCB",31.25,2022-10-31 02:00:00+00:00
PM10,,"Kamalnath Nagar, Bettiah - BSPCB",233.0,2022-10-16 15:45:00+00:00
SO2,,"Gandak Colony, Motihari - BSPCB",1.4,2022-10-16 15:45:00+00:00
PM10,,"Shahjahan Garden, Agra - UPPCB",121.32,2022-10-31 02:00:00+00:00
CO,,"Police Line, Saharsa - BSPCB",0.0,2022-10-16 14:45:00+00:00
SO2,,"Jigar Colony, Moradabad - UPPCB",20.52,2022-10-31 02:00:00+00:00
O3,,"Raikhad, Ahmedabad - IITM",0.0,2022-07-07 08:45:00+00:00
O3,,"DM College of Science, Imphal - Manipur PCB",189.48,2022-10-31 02:00:00+00:00
PM10,,"JN Stadium, Shillong - Meghalaya PCB",24.74,2022-10-15 05:45:00+00:00
O3,,"Transport Nagar, Moradabad - UPPCB",8.36,2022-10-31 02:00:00+00:00
O3,,"Gulzarpet, Anantapur - APPCB",19.95,2022-10-31 01:45:00+00:00
O3,,"Pimpleshwar Mandir, Thane - MPCB",49.75,2022-10-16 11:45:00+00:00
PM10,,"Asansol Court Area, Asansol - WBPCB",183.05,2022-10-31 01:45:00+00:00
O3,,"Nishant Ganj, Lucknow - UPPCB",27.0,2018-04-09 06:30:00+00:00
PM2.5,,"ITO, Delhi - CPCB",162.0,2020-01-20 07:15:00+00:00
O3,,"Opp GPO Civil Lines, Nagpur - MPCB",11.05,2022-10-31 00:45:00+00:00
PM10,,"IDA Pashamylaram, Hyderabad - TSPCB",177.0,2022-10-31 02:00:00+00:00
NO2,,"IDA Pashamylaram, Hyderabad - TSPCB",10.6,2022-10-31 02:00:00+00:00
PM2.5,,"Lodhi Road, Delhi - IMD",64.29,2022-10-16 10:15:00+00:00
SO2,,"Adarsh Nagar, Jaipur - RSPCB",12.0,2022-10-31 02:00:00+00:00
SO2,,"R K Puram, New Delhi - DPCC",18.4,2018-05-06 19:30:00+00:00
PM2.5,,"More Chowk Waluj, Aurangabad - MPCB",63.02,2022-10-31 01:45:00+00:00
SO2,,"Plammoodu, Thiruvananthapuram - Kerala PCB",8.0,2022-10-31 02:00:00+00:00
SO2,,"IGSC Planetarium Complex, Patna - BSPCB",5.0,2022-10-31 02:00:00+00:00
CO,,"Jahangirpuri, Delhi - DPCC",2300.0,2018-05-12 04:30:00+00:00
PM10,,"Rabindra Bharati University, Kolkata - WBPCB",134.0,2022-03-24 23:30:00+00:00
PM10,,"IHBAS, Dilshad Garden, Delhi - CPCB",309.7,2022-10-31 01:45:00+00:00
O3,,"Colaba, Mumbai - MPCB",2.49,2022-10-31 01:45:00+00:00
CO,,"Gobind Pura, Yamuna Nagar - HSPCB",1240.0,2022-10-31 01:30:00+00:00
PM2.5,,"Kalal Majra, Khanna - PPCB",54.51,2022-10-31 01:00:00+00:00
CO,,"H.B. Colony, Bhiwani - HSPCB",1030.0,2022-10-31 01:45:00+00:00
PM2.5,,"Jadavpur, Kolkata - WBPCB",52.3,2022-10-31 02:00:00+00:00
PM10,,"Jadavpur, Kolkata - WBPCB",102.5,2022-10-31 02:00:00+00:00
CO,,"Jadavpur, Kolkata - WBPCB",1190.0,2022-10-31 02:00:00+00:00
CO,,"Chikkaballapur Rural, Chikkaballapur - KSPCB",0.34,2022-10-31 02:00:00+00:00
PM10,,"Powai, Mumbai - MPCB",47.0,2022-10-16 13:15:00+00:00
NO2,,"Udyogamandal, Eloor - Kerala PCB",14.71,2022-10-31 01:45:00+00:00
O3,,"Jayanagar 5th Block, Bengaluru - KSPCB",31.28,2022-10-31 02:00:00+00:00
NO2,,"Sector-1, Noida - UPPCB",121.1,2022-10-16 16:00:00+00:00
CO,,"Hombegowda Nagar, Bengaluru - KSPCB",2.19,2022-10-16 16:00:00+00:00
O3,,"Loni, Ghaziabad - UPPCB",112.4,2022-10-26 07:45:00+00:00
PM2.5,,"R K Puram, Delhi - DPCC",268.0,2022-10-31 00:45:00+00:00
PM10,,"R K Puram, Delhi - DPCC",364.0,2022-10-31 00:45:00+00:00
O3,,"R K Puram, Delhi - DPCC",8.6,2022-10-31 00:45:00+00:00
SO2,,"Gomti Nagar, Lucknow - UPPCB",7.7,2022-10-16 16:00:00+00:00
PM2.5,,"Chhoti Gwaltoli, Indore - MPPCB",10.0,2020-01-06 09:15:00+00:00
O3,,"East Arjun Nagar, Delhi - CPCB",12.37,2020-02-10 03:00:00+00:00
PM10,,"Ganga Nagar, Meerut - UPPCB",309.0,2022-10-16 16:00:00+00:00
NO2,,"Punjabi Bagh, Delhi - DPCC",92.9,2018-02-21 20:45:00+00:00
NO2,,"Income Tax Office, Delhi - CPCB",132.1,2018-02-22 03:45:00+00:00
SO2,,"Anand Vihar, Delhi - DPCC",8.9,2018-02-21 21:15:00+00:00
SO2,,"Mandir Marg, Delhi - DPCC",14.47,2018-02-21 21:15:00+00:00
NO2,,Collectorate - Gaya - BSPCB,43.7,2018-02-22 03:00:00+00:00
PM2.5,,Chandrapur,91.0,2018-02-22 04:00:00+00:00
NO2,,"Sanjay Palace, Agra - UPPCB",19.7,2022-10-31 02:00:00+00:00
O3,,"Sanjay Palace, Agra - UPPCB",45.9,2022-10-31 02:00:00+00:00
CO,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.0,2022-08-02 05:15:00+00:00
PM10,,"BTM Layout, Bengaluru - CPCB",57.7,2022-10-16 16:00:00+00:00
NO2,,"Golden Temple, Amritsar - PPCB",57.91,2022-10-31 02:00:00+00:00
PM2.5,,"Alandur Bus Depot, Chennai - CPCB",88.77,2022-10-31 01:45:00+00:00
PM2.5,,"Punjab Agricultural University, Ludhiana - PPCB",98.69,2022-10-31 02:00:00+00:00
O3,,"Gole Bazar, Katni - MPPCB",47.0,2022-10-16 16:00:00+00:00
PM2.5,,"Nehru Nagar, Delhi - DPCC",280.0,2022-10-31 00:45:00+00:00
PM2.5,,"Vyttila, Kochi - Kerala PCB",42.5,2022-10-16 16:00:00+00:00
CO,,"Govt. High School Shikarpur, Patna - BSPCB",540.0,2022-10-16 15:45:00+00:00
PM10,,"Victoria, Kolkata - WBPCB",125.7,2022-10-31 01:45:00+00:00
PM10,,"Ratanpura, Rupnagar - Ambuja Cements",182.54,2021-11-23 11:45:00+00:00
CO,,"Thavakkara, Kannur - Kerala PCB",540.0,2022-10-16 15:30:00+00:00
O3,,"Buddha Colony, Muzaffarpur - BSPCB",29.51,2022-10-16 15:30:00+00:00
PM10,,"Sector-51, Gurugram - HSPCB",999.99,2022-10-16 16:00:00+00:00
PM2.5,,"Sector-51, Gurugram - HSPCB",472.46,2022-10-16 16:00:00+00:00
O3,,"Teri Gram, Gurugram - HSPCB",13.18,2022-10-16 16:00:00+00:00
O3,,"PWD Juction, Kohima - NPCB",10.29,2022-10-16 16:00:00+00:00
CO,,"Rabindra Sarobar, Kolkata - WBPCB",130.0,2022-10-31 01:45:00+00:00
CO,,"Murthal, Sonipat - HSPCB",700.0,2022-10-16 16:00:00+00:00
NO2,,"Sector 11, Faridabad - HSPCB",25.42,2022-10-16 15:45:00+00:00
PM10,,"T T Nagar, Bhopal - MPPCB",304.0,2022-10-16 16:00:00+00:00
PM2.5,,"T T Nagar, Bhopal - MPPCB",116.0,2022-10-16 16:00:00+00:00
NO2,,"Chandni Chowk, Delhi - IITM",157.02,2022-08-02 10:30:00+00:00
O3,,"Chandni Chowk, Delhi - IITM",13.38,2022-08-02 10:30:00+00:00
NO2,,"Mhada Colony, Pune - IITM",10.97,2022-10-16 16:00:00+00:00
CO,,"Malad West, Mumbai - IITM",3340.0,2022-10-16 15:45:00+00:00
PM2.5,,"Chakala-Andheri East, Mumbai - IITM",32.74,2022-10-16 13:00:00+00:00
PM10,,"Diwator Nagar, Koppal - KSPCB",122.94,2022-10-16 14:45:00+00:00
SO2,,"Kadri, Mangalore - KSPCB",7.23,2022-10-31 01:45:00+00:00
NO2,,"Jawahar Nagar, Puducherry - PPCC",4.4,2022-10-16 16:00:00+00:00
NO2,,"Jhunsi, Prayagraj - UPPCB",15.1,2022-10-16 16:00:00+00:00
PM10,,"Manoharpur, Agra - UPPCB",105.3,2022-10-31 02:00:00+00:00
SO2,,"Manoharpur, Agra - UPPCB",18.63,2022-10-31 02:00:00+00:00
NO2,,"Bhelupur, Varanasi - UPPCB",56.67,2022-10-16 16:00:00+00:00
NO2,,"Town Hall - Lal Bagh, Darbhanga - BSPCB",4.3,2022-10-31 01:45:00+00:00
O3,,"Omex Eternity, Vrindavan - UPPCB",0.56,2022-10-31 02:00:00+00:00
PM2.5,,"Omex Eternity, Vrindavan - UPPCB",67.8,2022-10-31 02:00:00+00:00
O3,,"Sector 22, Chandigarh - CPCC",14.4,2022-10-31 01:45:00+00:00
PM2.5,,"Sector 22, Chandigarh - CPCC",40.0,2022-10-31 01:45:00+00:00
CO,,"Sector 22, Chandigarh - CPCC",600.0,2022-10-31 01:45:00+00:00
PM10,,"Employment Office, Moradabad - UPPCB",79.15,2022-10-31 02:00:00+00:00
CO,,"Dada Peer, Sasaram - BSPCB",1800.0,2022-10-31 01:45:00+00:00
PM10,,"Civic Center, Bhilai - Bhilai Steel Plant",0.0,2022-10-12 18:15:00+00:00
SO2,,"Civic Center, Bhilai - Bhilai Steel Plant",0.0,2022-10-12 18:15:00+00:00
O3,,"Police Line, Saharsa - BSPCB",30.3,2022-10-16 15:45:00+00:00
CO,,"Bardowali, Agartala - Tripura SPCB",1420.0,2022-10-31 02:00:00+00:00
PM2.5,,"DM College of Science, Imphal - Manipur PCB",4.0,2022-10-31 02:00:00+00:00
CO,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",990.0,2022-10-31 02:00:00+00:00
SO2,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",4.95,2022-10-31 02:00:00+00:00
SO2,,"Ramachandrapuram, Hyderabad - TSPCB",6.37,2022-10-31 02:00:00+00:00
O3,,"Kashiram Nagar, Moradabad - UPPCB",9.22,2022-10-31 02:00:00+00:00
PM10,,"Transport Nagar, Moradabad - UPPCB",167.38,2022-10-31 02:00:00+00:00
O3,,"Bombay Castel, Ooty - TNPCB",4.47,2022-10-15 10:45:00+00:00
NO2,,"Bombay Castel, Ooty - TNPCB",1.27,2022-10-15 10:45:00+00:00
CO,,"SIPCOT Phase-1, Hosur - TNPCB",930.0,2022-10-31 01:45:00+00:00
CO,,"Civil Lines, Bareilly - UPPCB",600.0,2022-10-31 02:00:00+00:00
PM10,,"Civil Lines, Bareilly - UPPCB",111.56,2022-10-31 02:00:00+00:00
O3,,"Girls College, Sivasagar - PCBA",1.39,2022-10-31 02:00:00+00:00
SO2,,"Ashok Nagar, Udaipur - RSPCB",8.53,2022-10-31 01:45:00+00:00
SO2,,"Ardhali Bazar, Varanasi - UPPCB",35.63,2022-10-31 02:00:00+00:00
SO2,,"Pimpleshwar Mandir, Thane - MPCB",73.33,2022-10-16 11:45:00+00:00
NO2,,"GM Office, Brajrajnagar - OSPCB",0.0,2022-10-14 20:00:00+00:00
CO,,"Padmapukur, Howrah - WBPCB",70.0,2022-10-31 01:45:00+00:00
SO2,,"NSIT Dwarka, Delhi - CPCB",2.0,2022-10-31 02:00:00+00:00
NO2,,"CRRI Mathura Road, Delhi - IMD",3.52,2022-10-31 01:15:00+00:00
CO,,"Shadipur, Delhi - CPCB",2410.0,2022-10-31 02:00:00+00:00
PM10,,"Police Commissionerate, Jaipur - RSPCB",254.7,2022-10-31 01:45:00+00:00
CO,,"Sanegurava Halli, Bengaluru - KSPCB",760.0,2022-10-31 02:00:00+00:00
PM10,,"Velachery Res. Area, Chennai - CPCB",69.83,2022-10-31 01:45:00+00:00
O3,,"Ashok Vihar, Delhi - DPCC",131.7,2018-05-12 04:30:00+00:00
PM2.5,,"Mandir Marg, Delhi - DPCC",60.0,2022-10-31 00:45:00+00:00
NO2,,"Vasai West, Mumbai - MPCB",26.51,2022-10-31 02:00:00+00:00
NO2,,"Alipur, Delhi - DPCC",45.1,2022-10-31 00:30:00+00:00
O3,,"Alipur, Delhi - DPCC",7.5,2022-10-31 00:30:00+00:00
PM10,,"Urban Estate-II, Hisar - HSPCB",114.1,2022-10-31 01:45:00+00:00
O3,,"Urban Estate-II, Hisar - HSPCB",82.7,2022-10-31 01:45:00+00:00
PM10,,"Sector-10, Gandhinagar - GPCB",98.65,2022-10-31 01:45:00+00:00
PM2.5,,"Vivek Vihar, Delhi - DPCC",287.0,2022-10-31 00:45:00+00:00
PM10,,"Railway Colony, Guwahati - APCB",0.0,2019-12-24 07:30:00+00:00
O3,,"Belur Math, Howrah - WBPCB",0.0,2022-10-31 01:45:00+00:00
SO2,,"F-Block, Sirsa - HSPCB",17.87,2022-10-31 02:00:00+00:00
PM2.5,,"Sector-18, Panipat - HSPCB",89.5,2022-10-31 01:45:00+00:00
PM2.5,,"Jayanagar 5th Block, Bengaluru - KSPCB",63.0,2022-10-31 02:00:00+00:00
PM2.5,,"Bapuji Nagar, Bengaluru - KSPCB",114.0,2022-10-31 02:00:00+00:00
PM2.5,,"Silk Board, Bengaluru - KSPCB",55.0,2022-10-31 02:00:00+00:00
PM10,,"Hebbal, Bengaluru - KSPCB",94.0,2022-10-31 02:00:00+00:00
CO,,"Knowledge Park - V, Greater Noida - UPPCB",2450.0,2022-10-31 02:00:00+00:00
