country_name_en,measurements_parameter,city,location,measurements_value,measurements_lastupdated
India,CO,,"Sector-18, Panipat - HSPCB",2060.0,2022-10-31 01:45:00+00:00
India,CO,,"Gomti Nagar, Lucknow - UPPCB",330.0,2022-10-16 16:00:00+00:00
India,CO,,"Shyam Nagar, Palwal - HSPCB",750.0,2022-10-31 01:30:00+00:00
India,CO,,Navi Mumbai Municipal Corporation Airoli,1480.0,2020-04-09 00:15:00+00:00
India,CO,,"Anand Vihar, Delhi - DPCC",2800.0,2021-09-20 07:45:00+00:00
India,CO,,"Ratanpura, Rupnagar - Ambuja Cements",580.0,2021-11-23 11:45:00+00:00
India,CO,,"Lumpyngngad, Shillong - Meghalaya PCB",280.0,2022-10-16 16:00:00+00:00
India,CO,,"Haji Colony, Raichur - KSPCB",1960.0,2022-10-16 09:30:00+00:00
India,CO,,"Tamaka Ind. Area, Kolar - KSPCB",4040.0,2021-10-22 10:45:00+00:00
India,CO,,"Police Line, Saharsa - BSPCB",0.0,2022-10-16 14:45:00+00:00
India,CO,,"Jahangirpuri, Delhi - DPCC",2300.0,2018-05-12 04:30:00+00:00
India,CO,,"Gobind Pura, Yamuna Nagar - HSPCB",1240.0,2022-10-31 01:30:00+00:00
India,CO,,"H.B. Colony, Bhiwani - HSPCB",1030.0,2022-10-31 01:45:00+00:00
India,CO,,"Jadavpur, Kolkata - WBPCB",1190.0,2022-10-31 02:00:00+00:00
India,CO,,"Chikkaballapur Rural, Chikkaballapur - KSPCB",0.34,2022-10-31 02:00:00+00:00
India,CO,,"Hombegowda Nagar, Bengaluru - KSPCB",2.19,2022-10-16 16:00:00+00:00
India,CO,,"BWSSB Kadabesanahalli, Bengaluru - CPCB",0.0,2022-08-02 05:15:00+00:00
India,CO,,"Govt. High School Shikarpur, Patna - BSPCB",540.0,2022-10-16 15:45:00+00:00
India,CO,,"Thavakkara, Kannur - Kerala PCB",540.0,2022-10-16 15:30:00+00:00
India,CO,,"Rabindra Sarobar, Kolkata - WBPCB",130.0,2022-10-31 01:45:00+00:00
India,CO,,"Murthal, Sonipat - HSPCB",700.0,2022-10-16 16:00:00+00:00
India,CO,,"Malad West, Mumbai - IITM",3340.0,2022-10-16 15:45:00+00:00
India,CO,,"Sector 22, Chandigarh - CPCC",600.0,2022-10-31 01:45:00+00:00
India,CO,,"Dada Peer, Sasaram - BSPCB",1800.0,2022-10-31 01:45:00+00:00
India,CO,,"Bardowali, Agartala - Tripura SPCB",1420.0,2022-10-31 02:00:00+00:00
India,CO,,"Nacharam_TSIIC IALA, Hyderabad - TSPCB",990.0,2022-10-31 02:00:00+00:00
